n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_part_lost  #of_part_left 
  10  extrc  0.838220E+01   0.558411E-01   0.138958E-02   0.503312E+00   0.499773E+00   0.121067E+01   0.121728E+01   0.264514E+02   0.599955E+02   0.105306E-03      0.188082E-02        0.263768E-02        0.278530E-02        0.187351E-02        0.263001E-02        0.283407E-02        0.133348E+00        0.183695E+00        0.221587E+00    -0.175882E-04  -0.716825E-04  -0.418711E-04  -0.488280E-04   0.109498E-01   0.133829E-01  -0.624166E+01   0.589921E+01  -0.617200E+01   0.583922E+01   0.377556E+00      0.268494E+04     0.000000E+00    0.100010E+05
  11  extrc  0.930800E+01   0.619331E-01   0.160967E-02   0.537892E+00   0.534063E+00   0.129201E+01   0.130024E+01   0.264726E+02   0.601120E+02   0.951833E-04      0.188110E-02        0.263028E-02        0.279519E-02        0.187369E-02        0.263087E-02        0.284726E-02        0.133752E+00        0.186549E+00        0.234064E+00    -0.240302E-04  -0.783298E-04  -0.454360E-04  -0.503468E-04   0.115316E-01   0.337199E-02  -0.668862E+01   0.709460E+01  -0.661407E+01   0.702165E+01   0.378328E+00      0.297360E+04     0.000000E+00    0.100010E+05
  12  extrc  0.102338E+02   0.680250E-01   0.183249E-02   0.570751E+00   0.566650E+00   0.136910E+01   0.137887E+01   0.264909E+02   0.602141E+02   0.869770E-04      0.188164E-02        0.263283E-02        0.280387E-02        0.187408E-02        0.263299E-02        0.286194E-02        0.134339E+00        0.189538E+00        0.249064E+00    -0.306967E-04  -0.797834E-04  -0.490321E-04  -0.517035E-04   0.120855E-01  -0.746944E-02  -0.711021E+01   0.836914E+01  -0.703120E+01   0.828258E+01   0.378237E+00      0.325632E+04     0.000000E+00    0.100010E+05
  13  extrc  0.111596E+02   0.741170E-01   0.206691E-02   0.602107E+00   0.597747E+00   0.144254E+01   0.145379E+01   0.265069E+02   0.603057E+02   0.802516E-04      0.188244E-02        0.263300E-02        0.281004E-02        0.187464E-02        0.262722E-02        0.287757E-02        0.135186E+00        0.193933E+00        0.266392E+00    -0.375076E-04  -0.826481E-04  -0.529040E-04  -0.532594E-04   0.126150E-01  -0.191315E-01  -0.750907E+01   0.971792E+01  -0.742641E+01   0.961756E+01   0.377049E+00      0.352996E+04     0.000000E+00    0.100010E+05
  14  extrc  0.120854E+02   0.802090E-01   0.231677E-02   0.632135E+00   0.627531E+00   0.151498E+01   0.152566E+01   0.265211E+02   0.603894E+02   0.747108E-04      0.188320E-02        0.263343E-02        0.282557E-02        0.187531E-02        0.263064E-02        0.289400E-02        0.136379E+00        0.198564E+00        0.285704E+00    -0.444812E-04  -0.851167E-04  -0.566110E-04  -0.495286E-04   0.131232E-01  -0.316310E-01  -0.788917E+01   0.111384E+02  -0.780256E+01   0.110229E+02   0.374619E+00      0.379075E+04     0.000000E+00    0.100010E+05
  15  extrc  0.130112E+02   0.863011E-01   0.258911E-02   0.660982E+00   0.656144E+00   0.158569E+01   0.159564E+01   0.265338E+02   0.604671E+02   0.701453E-04      0.188374E-02        0.263327E-02        0.284064E-02        0.187625E-02        0.262528E-02        0.291051E-02        0.138008E+00        0.204422E+00        0.306941E+00    -0.514333E-04  -0.839352E-04  -0.602690E-04  -0.530049E-04   0.136125E-01  -0.450014E-01  -0.825332E+01   0.126286E+02  -0.816087E+01   0.124941E+02   0.370805E+00      0.403437E+04     0.000000E+00    0.100010E+05
  16  extrc  0.139370E+02   0.923931E-01   0.287211E-02   0.688769E+00   0.683705E+00   0.165396E+01   0.166304E+01   0.265453E+02   0.605402E+02   0.663991E-04      0.188451E-02        0.262962E-02        0.285518E-02        0.187731E-02        0.262583E-02        0.292735E-02        0.140160E+00        0.212396E+00        0.329296E+00    -0.580627E-04  -0.806962E-04  -0.642680E-04  -0.565504E-04   0.140848E-01  -0.592752E-01  -0.860148E+01   0.141826E+02  -0.850360E+01   0.140285E+02   0.365508E+00      0.425651E+04     0.000000E+00    0.100010E+05
  17  drift  0.141870E+02   0.923931E-01   0.287211E-02   0.699213E+00   0.694068E+00   0.167951E+01   0.168834E+01   0.265482E+02   0.605590E+02   0.663991E-04      0.188451E-02        0.262962E-02        0.285518E-02        0.187731E-02        0.262583E-02        0.292735E-02        0.140160E+00        0.212396E+00        0.329296E+00    -0.600801E-04  -0.806962E-04  -0.656818E-04  -0.565504E-04   0.140848E-01  -0.629405E-01  -0.873366E+01   0.146160E+02  -0.863425E+01   0.144570E+02   0.365851E+00      0.425746E+04     0.000000E+00    0.100010E+05
  18  strip  0.141870E+02   0.923937E-01   0.287210E-02   0.699213E+00   0.694068E+00   0.167951E+01   0.168834E+01   0.265482E+02   0.605590E+02   0.425220E-03      0.276493E-01        0.821428E-01        0.178184E+00        0.272445E-01        0.850302E-01        0.173531E+00        0.954616E+00        0.216230E+01        0.420680E+01    -0.600801E-04  -0.146081E-01  -0.656818E-04   0.420872E-02   0.140848E-01  -0.629405E-01  -0.589448E+00   0.996196E+00  -0.610914E+00   0.996173E+00   0.492411E-01      0.625096E+03     0.000000E+00    0.100010E+05
  19  drift  0.144370E+02   0.923937E-01   0.287210E-02   0.709773E+00   0.704924E+00   0.172515E+01   0.171021E+01   0.265510E+02   0.605949E+02   0.425220E-03      0.276493E-01        0.821428E-01        0.178184E+00        0.272445E-01        0.850302E-01        0.173531E+00        0.954616E+00        0.216230E+01        0.420681E+01    -0.425281E-03  -0.146081E-01   0.395363E-04   0.420872E-02   0.140848E-01  -0.664620E-01  -0.623263E+00   0.102651E+01  -0.645376E+00   0.102758E+01   0.513130E-01      0.625226E+03     0.000000E+00    0.100010E+05
